UNIX Timestamp,ECG,HR,RR,Marker,datetime_utc,datetime_local,elapsed_seconds
1776408533768617755,0.019,,,,2026-04-17 06:48:53.768617 UTC,2026-04-17 06:48:53.768617,1.284535489
1776408533776309614,0.019,,,,2026-04-17 06:48:53.776309 UTC,2026-04-17 06:48:53.776309,1.292227348
1776408533784001473,0.022,,,,2026-04-17 06:48:53.784001 UTC,2026-04-17 06:48:53.784001,1.299919207
1776408533791693332,0.019,,,,2026-04-17 06:48:53.791693 UTC,2026-04-17 06:48:53.791693,1.307611066
1776408533799385191,0.017,,,,2026-04-17 06:48:53.799385 UTC,2026-04-17 06:48:53.799385,1.315302925
1776408533807077050,0.026,,,,2026-04-17 06:48:53.807077 UTC,2026-04-17 06:48:53.807077,1.322994784
1776408533814768909,0.031,,,,2026-04-17 06:48:53.814768 UTC,2026-04-17 06:48:53.814768,1.330686643
1776408533822460768,0.031,,,,2026-04-17 06:48:53.822460 UTC,2026-04-17 06:48:53.822460,1.338378502
1776408533830152627,0.029,,,,2026-04-17 06:48:53.830152 UTC,2026-04-17 06:48:53.830152,1.346070361
1776408533837844486,0.036,,,,2026-04-17 06:48:53.837844 UTC,2026-04-17 06:48:53.837844,1.35376222
1776408533845536345,0.058,,,,2026-04-17 06:48:53.845536 UTC,2026-04-17 06:48:53.845536,1.361454079
1776408533853228204,0.078,,,,2026-04-17 06:48:53.853228 UTC,2026-04-17 06:48:53.853228,1.369145938
1776408533860920063,0.083,,839.0,,2026-04-17 06:48:53.860920 UTC,2026-04-17 06:48:53.860920,1.376837797
1776408533868611922,0.083,,,,2026-04-17 06:48:53.868611 UTC,2026-04-17 06:48:53.868611,1.384529656
1776408533876303781,0.063,,,,2026-04-17 06:48:53.876303 UTC,2026-04-17 06:48:53.876303,1.392221515
1776408533883995640,0.041,,,,2026-04-17 06:48:53.883995 UTC,2026-04-17 06:48:53.883995,1.399913374
1776408533891687499,0.058,,,,2026-04-17 06:48:53.891687 UTC,2026-04-17 06:48:53.891687,1.407605233
1776408533899379358,0.076,,,,2026-04-17 06:48:53.899379 UTC,2026-04-17 06:48:53.899379,1.415297092
1776408533907071217,0.049,,,,2026-04-17 06:48:53.907071 UTC,2026-04-17 06:48:53.907071,1.422988951
1776408533914763076,0.041,,,,2026-04-17 06:48:53.914763 UTC,2026-04-17 06:48:53.914763,1.43068081
1776408533922454935,0.066,,,,2026-04-17 06:48:53.922454 UTC,2026-04-17 06:48:53.922454,1.438372669
1776408533930146794,0.063,,,,2026-04-17 06:48:53.930146 UTC,2026-04-17 06:48:53.930146,1.446064528
1776408533937838653,0.049,,,,2026-04-17 06:48:53.937838 UTC,2026-04-17 06:48:53.937838,1.453756387
1776408533945530512,0.056,,,,2026-04-17 06:48:53.945530 UTC,2026-04-17 06:48:53.945530,1.461448246
1776408533953222371,0.188,,,,2026-04-17 06:48:53.953222 UTC,2026-04-17 06:48:53.953222,1.469140105
